Date,Number of notifications,paper
4/27/22,1,1
4/28/22,,
4/29/22,,
4/30/22,1,1
5/1/22,1,1
5/2/22,1,1
5/3/22,,
5/4/22,,
5/5/22,,
5/6/22,,
5/7/22,,
5/8/22,,
5/9/22,,
5/10/22,,
5/11/22,,
5/12/22,1,1
5/13/22,,
5/14/22,1,1
5/15/22,2,2
5/16/22,6,6
5/17/22,4,4
5/18/22,3,3
5/19/22,1,1
5/20/22,5,5
5/21/22,6,6
5/22/22,1,1
5/23/22,,
5/24/22,3,3
5/25/22,6,6
5/26/22,2,2
5/27/22,3,3
5/28/22,8,8
5/29/22,8,8
5/30/22,3,3
5/31/22,3,3
6/1/22,6,6
6/2/22,5,5
6/3/22,10,10
6/4/22,4,4
6/5/22,9,9
6/6/22,7,7
6/7/22,9,9
6/8/22,11,11
6/9/22,14,14
6/10/22,7,7
6/11/22,5,5
6/12/22,19,19
6/13/22,11,11
6/14/22,15,15
6/15/22,9,9
6/16/22,11,11
6/17/22,14,14
6/18/22,16,16
6/19/22,13,13
6/20/22,33,33
6/21/22,17,15
6/22/22,22,22
6/23/22,14,15
6/24/22,14,15
6/25/22,24,24
6/26/22,12,12
6/27/22,20,20
6/28/22,16,16
6/29/22,25,25
6/30/22,23,23
7/1/22,26,26
7/2/22,16,16
7/3/22,17,17
7/4/22,22,23
7/5/22,20,19
7/6/22,26,26
7/7/22,26,26
7/8/22,31,31
7/9/22,20,19
7/10/22,26,26
7/11/22,25,26
7/12/22,19,19
7/13/22,22,22
7/14/22,22,22
7/15/22,28,27
7/16/22,18,18
7/17/22,13,13
7/18/22,21,21
7/19/22,14,14
7/20/22,16,16
7/21/22,11,11
7/22/22,14,14
7/23/22,12,12
7/24/22,10,10
7/25/22,23,23
7/26/22,9,9
7/27/22,6,6
7/28/22,11,11
7/29/22,9,9
7/30/22,8,8
7/31/22,5,5
8/1/22,12,12
8/2/22,13,13
8/3/22,3,3
8/4/22,4,4
8/5/22,8,8
8/6/22,7,7
8/7/22,11,11
8/8/22,8,8
8/9/22,10,10
8/10/22,10,10
8/11/22,2,2
8/12/22,8,8
8/13/22,7,7
8/14/22,7,7
8/15/22,11,11
8/16/22,6,6
8/17/22,3,3
8/18/22,3,3
8/19/22,3,3
8/20/22,4,4
8/21/22,3,3
8/22/22,10,10
8/23/22,4,4
8/24/22,6,6
8/25/22,1,1
8/26/22,2,2
8/27/22,1,1
8/28/22,4,4
8/29/22,4,4
8/30/22,,
8/31/22,,
